	fasta	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_id	cazy_hits	heme_regulatory_motif_count
MAG1_MAG1_234_3	MAG1	C	K06407	stage V sporulation protein AE								Stage V sporulation protein AE1 [PF14097.9]			0
MAG1_MAG1_234_2	MAG1	C	K06407	stage V sporulation protein AE								SpoVAC/SpoVAEB sporulation membrane protein [PF03862.16]			0
MAG1_MAG1_233_3	MAG1	C	K15539	cytoskeleton protein RodZ								Helix-turn-helix domain [PF13413.9]; Domain of unknown function (DUF4115) [PF13464.9]			0
MAG1_MAG1_233_2	MAG1	C	K00995	CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5]								CDP-alcohol phosphatidyltransferase [PF01066.24]			0
MAG1_MAG1_233_1	MAG1	C	K03742	nicotinamide-nucleotide amidase [EC:3.5.1.42]								Probable molybdopterin binding domain [PF00994.27]; Damage-inducible protein CinA KH domain [PF18146.4]			0
MAG1_MAG1_232_8	MAG1	C	K00925	acetate kinase [EC:2.7.2.1]								Acetokinase family [PF00871.20]			0
MAG1_MAG1_232_7	MAG1	C	K03638	molybdopterin adenylyltransferase [EC:2.7.7.75]								Probable molybdopterin binding domain [PF00994.27]			0
MAG1_MAG1_232_6	MAG1	C	K01940	argininosuccinate synthase [EC:6.3.4.5]								Arginosuccinate synthase [PF00764.22]; tRNA methyl transferase HUP domain [PF03054.19]			0
MAG1_MAG1_232_5	MAG1	C	K01755	argininosuccinate lyase [EC:4.3.2.1]								Lyase [PF00206.23]; Argininosuccinate lyase C-terminal [PF14698.9]			0
MAG1_MAG1_231_6	MAG1	C	K15329	trans-AT polyketide synthase, acyltransferase and oxidoreductase domains								Acyl transferase domain [PF00698.24]; Nitronate monooxygenase [PF03060.18]			0
MAG1_MAG1_231_5	MAG1	C	K15337	polyketide biosynthesis acyl carrier protein								Phosphopantetheine attachment site [PF00550.28]			0
MAG1_MAG1_238_3	MAG1	C	K01653	acetolactate synthase I/III small subunit [EC:2.2.1.6]								Small subunit of acetolactate synthase [PF10369.12]; ACT domain [PF13710.9]; ACT domain [PF01842.28]			0
MAG1_MAG1_231_4	MAG1	C	K15311	polyketide biosynthesis 3-hydroxy-3-methylglutaryl-CoA synthase-like enzyme PksG								Hydroxymethylglutaryl-coenzyme A synthase N terminal [PF01154.20]; Hydroxymethylglutaryl-coenzyme A synthase C terminal [PF08540.13]			0
MAG1_MAG1_238_4	MAG1	C	K01652	acetolactate synthase I/II/III large subunit [EC:2.2.1.6]								Thiamine pyrophosphate enzyme, N-terminal TPP binding domain [PF02776.21]; Thiamine pyrophosphate enzyme, C-terminal TPP binding domain [PF02775.24]; Thiamine pyrophosphate enzyme, central domain [PF00205.25]			0
MAG1_MAG1_239_6	MAG1	C	K01737	6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]								6-pyruvoyl tetrahydropterin synthase [PF01242.22]			0
MAG1_MAG1_243_5	MAG1	C	K01448	N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]								N-acetylmuramoyl-L-alanine amidase [PF01520.21]			0
MAG1_MAG1_243_4	MAG1	C	K03593	ATP-binding protein involved in chromosome partitioning								NUBPL iron-transfer P-loop NTPase [PF10609.12]; AAA domain [PF13614.9]; CobQ/CobB/MinD/ParA nucleotide binding domain [PF01656.26]; ATPase MipZ [PF09140.14]; Cellulose biosynthesis protein BcsQ [PF06564.15]; VirC1 protein [PF07015.14]; 4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family [PF00142.21]; Anion-transporting ATPase [PF02374.18]			0
MAG1_MAG1_243_3	MAG1	C	K06294	spore germination protein D								Spore germination GerD central core domain [PF17898.4]			0
MAG1_MAG1_243_2	MAG1	C	K06349	KinB signaling pathway activation protein								KinB-signalling pathway activation in sporulation [PF14089.9]			0
MAG1_MAG1_243_1	MAG1	C	K22278	peptidoglycan-N-acetylglucosamine deacetylase [EC:3.5.1.104]								Polysaccharide deacetylase [PF01522.24]	CE4	CE4 acetyl xylan esterase (EC 3.1.1.72); chitin deacetylase (EC 3.5.1.41); chitooligosaccharide deacetylase (EC 3.5.1.-); peptidoglycan GlcNAc deacetylase (EC 3.5.1.-); peptidoglycan N-acetylmuramic acid deacetylase (EC 3.5.1.-).	0
MAG1_MAG1_242_7	MAG1	C	K07775	two-component system, OmpR family, response regulator ResD								Response regulator receiver domain [PF00072.27]; Transcriptional regulatory protein, C terminal [PF00486.31]			0
MAG1_MAG1_242_5	MAG1	C	K07399	cytochrome c biogenesis protein								ResB-like family [PF05140.17]			0
MAG1_MAG1_242_4	MAG1	C	K02199	cytochrome c biogenesis protein CcmG, thiol:disulfide interchange protein DsbE								Redoxin [PF08534.13]; AhpC/TSA family [PF00578.24]; Thioredoxin-like [PF13905.9]; SpoIIIAH-like protein [PF12685.10]; Thioredoxin-like domain [PF13098.9]; Thioredoxin [PF00085.23]; F plasmid transfer operon protein [PF13728.9]			0
MAG1_MAG1_242_3	MAG1	C	K06178	23S rRNA pseudouridine2605 synthase [EC:5.4.99.22]								RNA pseudouridylate synthase [PF00849.25]; S4 domain [PF01479.28]			0
MAG1_MAG1_242_2	MAG1	C	K06374	spore maturation protein B											0
MAG1_MAG1_241_7	MAG1	C	K02033	peptide/nickel transport system permease protein											0
MAG1_MAG1_241_6	MAG1	C	K02034	peptide/nickel transport system permease protein								N-terminal TM domain of oligopeptide transport permease C [PF12911.10]			0
MAG1_MAG1_241_5	MAG1	C	K02031	peptide/nickel transport system ATP-binding protein								ABC transporter [PF00005.30]; Oligopeptide/dipeptide transporter, C-terminal region [PF08352.15]			0
MAG1_MAG1_241_4	MAG1	C	K02032	peptide/nickel transport system ATP-binding protein								ABC transporter [PF00005.30]; Oligopeptide/dipeptide transporter, C-terminal region [PF08352.15]			0
MAG1_MAG1_241_3	MAG1	C	K03781	catalase [EC:1.11.1.6]								Catalase [PF00199.22]; Catalase-related immune-responsive [PF06628.15]			0
MAG1_MAG1_241_2	MAG1	C	K07045	uncharacterized protein								Amidohydrolase [PF04909.17]			0
MAG1_MAG1_240_9	MAG1	C	K07705	two-component system, LytTR family, response regulator LytT								LytTr DNA-binding domain [PF04397.18]; Response regulator receiver domain [PF00072.27]			0
MAG1_MAG1_240_8	MAG1	C	K05338	holin-like protein								LrgA family [PF03788.17]			0
MAG1_MAG1_240_7	MAG1	C	K05339	holin-like protein LrgB								LrgB-like family [PF04172.19]			0
MAG1_MAG1_240_6	MAG1	C	K02520	translation initiation factor IF-3								Translation initiation factor IF-3, C-terminal domain [PF00707.25]; Translation initiation factor IF-3, N-terminal domain [PF05198.19]			0
MAG1_MAG1_240_5	MAG1	C	K02916	large subunit ribosomal protein L35								Ribosomal protein L35 [PF01632.22]			0
MAG1_MAG1_240_4	MAG1	C	K02887	large subunit ribosomal protein L20								Ribosomal protein L20 [PF00453.21]			0
MAG1_MAG1_240_2	MAG1	C	K01261	glutamyl aminopeptidase [EC:3.4.11.7]	MER0399294	M42	MER0399294 - glutamyl aminopeptidase (bacterium) (Bacillus sp. 916) [M42.001]#M42#{peptidase unit: 5-361}~source EJD68693~	True	0.963	725.0	8.128e-236	M42 glutamyl aminopeptidase [PF05343.17]			0
MAG1_MAG1_23_3	MAG1	C	K08221	MFS transporter, ACDE family, multidrug resistance protein											0
MAG1_MAG1_23_1	MAG1	C	K06994	putative drug exporter of the RND superfamily								MMPL family [PF03176.18]			0
MAG1_MAG1_239_8	MAG1	C	K09457	7-cyano-7-deazaguanine reductase [EC:1.7.1.13]								QueF-like protein [PF14489.9]			0
MAG1_MAG1_239_7	MAG1	C	K10026	7-carboxy-7-deazaguanine synthase [EC:4.3.99.3]								Radical SAM superfamily [PF04055.24]; 4Fe-4S single cluster domain [PF13353.9]; 4Fe-4S single cluster domain [PF13394.9]			0
MAG1_MAG1_239_5	MAG1	C	K06920	7-cyano-7-deazaguanine synthase [EC:6.3.4.20]								Queuosine biosynthesis protein QueC [PF06508.16]			0
MAG1_MAG1_231_3	MAG1	C	K15312	polyketide biosynthesis enoyl-CoA hydratase PksH								Enoyl-CoA hydratase/isomerase [PF00378.23]; Enoyl-CoA hydratase/isomerase [PF16113.8]			0
MAG1_MAG1_231_2	MAG1	C	K15313	polyketide biosynthesis enoyl-CoA hydratase PksI								Enoyl-CoA hydratase/isomerase [PF00378.23]; Enoyl-CoA hydratase/isomerase [PF16113.8]			0
MAG1_MAG1_230_5	MAG1	C	K01956	carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]	MER0439314	C26	MER0439314 - family C26 unassigned peptidases (Bacillus sp. 5B6) [C26.UPW]#C26#{peptidase unit: 5-347}~source ZP_10042762~	True	0.959	694.0	6.039e-225	Carbamoyl-phosphate synthase small chain, CPSase domain [PF00988.25]; Glutamine amidotransferase class-I [PF00117.31]; Peptidase C26 [PF07722.16]			0
MAG1_MAG1_225_6	MAG1	C	K03406	methyl-accepting chemotaxis protein	MER0501642	M23B	MER0501642 - subfamily M23B unassigned peptidases (Clostridium saccharobutylicum) [M23.UPB]#M23B#{peptidase unit: 361-556}~source YP_008673405~	False	0.329	99.0	1.491e-19	Methyl-accepting chemotaxis protein (MCP) signalling domain [PF00015.24]; Cache domain [PF02743.21]; HAMP domain [PF00672.28]; Cache 3/Cache 2 fusion domain [PF17201.7]			0
MAG1_MAG1_225_54	MAG1	C	K17733	peptidoglycan LD-endopeptidase CwlK [EC:3.4.-.-]	MER0237853	M15C	MER0237853 - subfamily M15C unassigned peptidases (Bacillus amyloliquefaciens) [M15.UPC]#M15C#{peptidase unit: 1-156}~source CBI44015~	False	0.968	320.0	2.64e-98	D-alanyl-D-alanine carboxypeptidase [PF13539.9]			0
MAG1_MAG1_225_5	MAG1	C	K00686	protein-glutamine gamma-glutamyltransferase [EC:2.3.2.13]								Protein-glutamine gamma-glutamyltransferase [PF20085.2]			0
MAG1_MAG1_225_37	MAG1	C	K06904	uncharacterized protein	MER0286586	S78	MER0286586 - family S78 unassigned peptidases (Bacillus amyloliquefaciens) [S78.UPW]#S78#{peptidase unit: 23-167}~source YP_005542722~	False	0.969	298.0	3.926e-91	Caudovirus prohead serine protease [PF04586.20]			0
MAG1_MAG1_225_3	MAG1	C	K00459	nitronate monooxygenase [EC:1.13.12.16]								Nitronate monooxygenase [PF03060.18]; Uncharacterised protein family UPF0047 [PF01894.20]			0
MAG1_MAG1_225_2	MAG1	C	K01187	alpha-glucosidase [EC:3.2.1.20]								Alpha amylase, catalytic domain [PF00128.27]; Maltogenic Amylase, C-terminal domain [PF16657.8]; Domain of unknown function (DUF3459) [PF11941.11]	GH13; GH13_10; GH13_12; GH13_14; GH13_16; GH13_17; GH13_18; GH13_1; GH13_20; GH13_21; GH13_23; GH13_29; GH13_2; GH13_30; GH13_31; GH13_32; GH13_35; GH13_36; GH13_37; GH13_39; GH13_3; GH13_40; GH13_41; GH13_4; GH13_6; GH13_9	GH13 alpha-amylase (EC 3.2.1.1); pullulanase (EC 3.2.1.41); cyclomaltodextrin glucanotransferase (EC 2.4.1.19); cyclomaltodextrinase (EC 3.2.1.54); trehalose-6-phosphate hydrolase (EC 3.2.1.93); oligo-alpha-glucosidase (EC 3.2.1.10); maltogenic amylase (EC 3.2.1.133); neopullulanase (EC 3.2.1.135); alpha-glucosidase (EC 3.2.1.20); maltotetraose-forming alpha-amylase (EC 3.2.1.60); isoamylase (EC 3.2.1.68); glucodextranase (EC 3.2.1.70); maltohexaose-forming alpha-amylase (EC 3.2.1.98); maltotriose-forming alpha-amylase (EC 3.2.1.116); branching enzyme (EC 2.4.1.18); trehalose synthase (EC 5.4.99.16); 4-alpha-glucanotransferase (EC 2.4.1.25); maltopentaose-forming alpha-amylase (EC 3.2.1.-) ; amylosucrase (EC 2.4.1.4) ; sucrose phosphorylase (EC 2.4.1.7); malto-oligosyltrehalose trehalohydrolase (EC 3.2.1.141); isomaltulose synthase (EC 5.4.99.11); malto-oligosyltrehalose synthase (EC 5.4.99.15); amylo-alpha-1,6-glucosidase (EC 3.2.1.33); alpha-1,4-glucan: phosphate alpha-maltosyltransferase (EC 2.4.99.16); amino acid transporter; [retaining] sucrose 6(F)-phosphate phosphorylase (EC 2.4.1.329); [retaining] glucosylglycerol phosphorylase (EC 2.4.1.359); ; Glucosylglycerate phosphorylase (EC 2.4.1.352); [retaining] sucrose alpha-glucosidase (EC 3.2.1.48); oligosaccharide alpha-4-glucosyltransferase (EC 2.4.1.161); [retaining] alpha-amylase (EC 3.2.1.1)	0
MAG1_MAG1_225_14	MAG1	C	K14059	integrase								Phage integrase family [PF00589.25]; Phage integrase, N-terminal SAM-like domain [PF14659.9]; Arm DNA-binding domain [PF14657.9]			0
MAG1_MAG1_225_13	MAG1	C	K06153	undecaprenyl-diphosphatase [EC:3.6.1.27]								Bacitracin resistance protein BacA [PF02673.21]			0
MAG1_MAG1_225_11	MAG1	C	K22230	scyllo-inositol 2-dehydrogenase (NADP+) [EC:1.1.1.-]								Oxidoreductase family, NAD-binding Rossmann fold [PF01408.25]; Oxidoreductase family, C-terminal alpha/beta domain [PF02894.20]			0
MAG1_MAG1_225_10	MAG1	C	K05520	protease I [EC:3.5.1.124]	MER0402823	C56	MER0402823 - PfpI peptidase (Bacillus sp. 916) [C56.001]#C56#{peptidase unit: 32-168}~source EJD67899~	False	0.99	289.0	2.509e-88	DJ-1/PfpI family [PF01965.27]; ThiJ/PfpI family-like [PF17124.8]			0
MAG1_MAG1_223_4	MAG1	C	K06324	spore coat protein A, manganese oxidase [EC:1.16.3.3]								Multicopper oxidase [PF07731.17]; Multicopper oxidase [PF07732.18]; Multicopper oxidase [PF00394.25]	AA1	AA1 Laccase / p-diphenol:oxygen oxidoreductase / ferroxidase (EC 1.10.3.2); ; ferroxidase (EC 1.10.3.-); Laccase-like multicopper oxidase (EC 1.10.3.-)	0
MAG1_MAG1_223_3	MAG1	C	K11735	GABA permease								Amino acid permease [PF00324.24]; Amino acid permease [PF13520.9]			0
MAG1_MAG1_223_1	MAG1	C	K03924	MoxR-like ATPase [EC:3.6.3.-]								ATPase family associated with various cellular activities (AAA) [PF07726.14]; AAA domain (dynein-related subfamily) [PF07728.17]; MoxR domain in the MoxR-vWA-beta-propeller ternary systems [PF20030.2]; Holliday junction DNA helicase RuvB P-loop domain [PF05496.15]			0
MAG1_MAG1_222_6	MAG1	C	K03648	uracil-DNA glycosylase [EC:3.2.2.27]								Uracil DNA glycosylase superfamily [PF03167.22]			0
MAG1_MAG1_222_2	MAG1	C	K01193	beta-fructofuranosidase [EC:3.2.1.26]								Glycosyl hydrolases family 32 N-terminal domain [PF00251.23]; Glycosyl hydrolases family 32 C terminal [PF08244.15]; Glycosyl hydrolases family 43 [PF04616.17]	GH32	GH32 invertase (EC 3.2.1.26); endo-inulinase (EC 3.2.1.7); beta-2,6-fructan 6-levanbiohydrolase (EC 3.2.1.64); endo-levanase (EC 3.2.1.65); exo-inulinase (EC 3.2.1.80); fructan beta-(2,1)-fructosidase/1-exohydrolase (EC 3.2.1.153); fructan beta-(2,6)-fructosidase/6-exohydrolase (EC 3.2.1.154); sucrose:sucrose 1-fructosyltransferase (EC 2.4.1.99); fructan:fructan 1-fructosyltransferase (EC 2.4.1.100); sucrose:fructan 6-fructosyltransferase (EC 2.4.1.10); fructan:fructan 6G-fructosyltransferase (EC 2.4.1.243); levan fructosyltransferase (EC 2.4.1.-); [retaining] sucrose:sucrose 6-fructosyltransferase (6-SST) (EC 2.4.1.-); cycloinulo-oligosaccharide fructanotransferase (EC 2.4.1.-)	0
MAG1_MAG1_222_10	MAG1	C	K06305	spore germination protein Q								Spore coat protein (Spore_GerQ) [PF09671.13]			0
MAG1_MAG1_221_9	MAG1	C	K06395	stage III sporulation protein AF								Stage III sporulation protein AF (Spore_III_AF) [PF09581.13]			0
MAG1_MAG1_221_8	MAG1	C	K06396	stage III sporulation protein AG											0
MAG1_MAG1_221_7	MAG1	C	K06397	stage III sporulation protein AH								SpoIIIAH-like protein [PF12685.10]			0
MAG1_MAG1_221_6	MAG1	C	K02160	acetyl-CoA carboxylase biotin carboxyl carrier protein								Biotin-requiring enzyme [PF00364.25]			0
MAG1_MAG1_221_5	MAG1	C	K01961	acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]								Carbamoyl-phosphate synthase L chain, ATP binding domain [PF02786.20]; Biotin carboxylase, N-terminal domain [PF00289.25]; Biotin carboxylase C-terminal domain [PF02785.22]; ATP-grasp domain [PF02222.25]; ATP-grasp domain [PF02655.17]; D-ala D-ala ligase C-terminus [PF07478.16]; ATP-grasp domain [PF13535.9]; RimK-like ATP-grasp domain [PF08443.14]; Phosphoribosylglycinamide synthetase, ATP-grasp (A) domain [PF01071.22]			0
MAG1_MAG1_221_3	MAG1	C	K03625	transcription antitermination protein NusB								NusB family [PF01029.21]			0
MAG1_MAG1_221_2	MAG1	C	K01491	methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]								Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain [PF02882.22]; Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain [PF00763.26]			0
MAG1_MAG1_221_10	MAG1	C	K06394	stage III sporulation protein AE								Stage III sporulation protein AE (spore_III_AE) [PF09546.13]			0
MAG1_MAG1_221_1	MAG1	C	K03601	exodeoxyribonuclease VII large subunit [EC:3.1.11.6]								OB-fold nucleic acid binding domain [PF13742.9]; Exonuclease VII, large subunit [PF02601.18]; OB-fold nucleic acid binding domain [PF01336.28]			0
MAG1_MAG1_220_9	MAG1	C	K03315	Na+:H+ antiporter, NhaC family								Na+/H+ antiporter family [PF03553.17]			0
MAG1_MAG1_220_8	MAG1	C	K01744	aspartate ammonia-lyase [EC:4.3.1.1]								Lyase [PF00206.23]; Fumarase C C-terminus [PF10415.12]			0
MAG1_MAG1_225_61	MAG1	C	K07727	putative transcriptional regulator								Cro/C1-type HTH DNA-binding domain [PF13443.9]			0
MAG1_MAG1_225_68	MAG1	C	K06366	response regulator aspartate phosphatase H [EC:3.1.-.-]								response regulator aspartate phosphatase H, N terminal [PF18801.4]; Tetratricopeptide repeat [PF13424.9]; Anaphase-promoting complex, cyclosome, subunit 3 [PF12895.10]; RNPP family C-terminal domain [PF18768.4]			0
MAG1_MAG1_225_7	MAG1	C	K03406	methyl-accepting chemotaxis protein	MER0501642	M23B	MER0501642 - subfamily M23B unassigned peptidases (Clostridium saccharobutylicum) [M23.UPB]#M23B#{peptidase unit: 361-556}~source YP_008673405~	False	0.302	87.0	6.36e-16	Methyl-accepting chemotaxis protein (MCP) signalling domain [PF00015.24]; Cache domain [PF02743.21]; HAMP domain [PF00672.28]; Cache 3/Cache 2 fusion domain [PF17201.7]			0
MAG1_MAG1_225_73	MAG1	C	K05916	nitric oxide dioxygenase [EC:1.14.12.17]								Globin [PF00042.25]; Oxidoreductase FAD-binding domain [PF00970.27]; Oxidoreductase NAD-binding domain [PF00175.24]			0
MAG1_MAG1_230_4	MAG1	C	K01955	carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]								Carbamoyl-phosphate synthase L chain, ATP binding domain [PF02786.20]; Carbamoyl-phosphate synthetase large chain, oligomerisation domain [PF02787.22]; MGS-like domain [PF02142.25]; ATP-grasp domain [PF02655.17]; ATP-grasp domain [PF02222.25]; D-ala D-ala ligase C-terminus [PF07478.16]; Phosphoribosylglycinamide synthetase, ATP-grasp (A) domain [PF01071.22]; ATP-grasp domain [PF13535.9]; RimK-like ATP-grasp domain [PF08443.14]; ATP-grasp in the biosynthetic pathway with Ter operon [PF15632.9]			0
MAG1_MAG1_230_3	MAG1	C	K02823	dihydroorotate dehydrogenase electron transfer subunit								Iron-sulfur cluster binding domain of dihydroorotate dehydrogenase B [PF10418.12]; Oxidoreductase FAD-binding domain [PF00970.27]; Oxidoreductase NAD-binding domain [PF00175.24]			0
MAG1_MAG1_230_2	MAG1	C	K17828	dihydroorotate dehydrogenase (NAD+) catalytic subunit [EC:1.3.1.14]								Dihydroorotate dehydrogenase [PF01180.24]; Dihydrouridine synthase (Dus) [PF01207.20]; Histidine biosynthesis protein [PF00977.24]			0
MAG1_MAG1_230_1	MAG1	C	K01591	orotidine-5'-phosphate decarboxylase [EC:4.1.1.23]								Orotidine 5'-phosphate decarboxylase / HUMPS family [PF00215.27]			0
MAG1_MAG1_22_5	MAG1	C	K05340	glucose uptake protein								Sugar transport protein [PF06800.15]; Transmembrane family, TMEM144 of transporters [PF07857.15]			0
MAG1_MAG1_22_2	MAG1	C	K07250	4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase / 5-aminovalerate transaminase [EC:2.6.1.19 2.6.1.22 2.6.1.48]								Aminotransferase class-III [PF00202.24]			0
MAG1_MAG1_229_7	MAG1	C	K18907	GntR family transcriptional regulator, regulator for abcA and norABC								Aminotransferase class I and II [PF00155.24]; Bacterial regulatory proteins, gntR family [PF00392.24]; Aspartate amino-transferase [PF12897.10]			0
MAG1_MAG1_229_4	MAG1	C	K24042	methionine synthase / methylenetetrahydrofolate reductase (NADH) [EC:2.1.1.13 1.5.1.54]								Homocysteine S-methyltransferase [PF02574.19]; Methylenetetrahydrofolate reductase [PF02219.20]			0
MAG1_MAG1_229_3	MAG1	C	K09767	cyclic-di-GMP-binding protein								Protein of unknown function (DUF520) [PF04461.16]			0
MAG1_MAG1_229_2	MAG1	C	K00243	uncharacterized protein								CvfB-like winged helix domain [PF17783.4]; S1 domain [PF13509.9]			0
MAG1_MAG1_229_1	MAG1	C	K07335	basic membrane protein A and related proteins								ABC transporter substrate-binding protein PnrA-like [PF02608.17]			0
MAG1_MAG1_228_8	MAG1	C	K06387	stage II sporulation protein R								Stage II sporulation protein R (spore_II_R) [PF09551.13]			0
MAG1_MAG1_228_6	MAG1	C	K07566	L-threonylcarbamoyladenylate synthase [EC:2.7.7.87]								Telomere recombination [PF01300.21]; Threonylcarbamoyl-AMP synthase, C-terminal domain [PF03481.16]			0
MAG1_MAG1_243_8	MAG1	C	K02996	small subunit ribosomal protein S9								Ribosomal protein S9/S16 [PF00380.22]			0
MAG1_MAG1_228_5	MAG1	C	K23242	manganese efflux pump family protein								Putative manganese efflux pump [PF02659.18]			0
MAG1_MAG1_228_3	MAG1	C	K01808	ribose 5-phosphate isomerase B [EC:5.3.1.6]								Ribose/Galactose Isomerase [PF02502.21]			0
MAG1_MAG1_228_11	MAG1	C	K02493	release factor glutamine methyltransferase [EC:2.1.1.297]								Methyltransferase small domain [PF05175.17]; Methyltransferase domain [PF13847.9]; Methyltransferase domain [PF13649.9]; Putative RNA methylase family UPF0020 [PF01170.21]; Conserved hypothetical protein 95 [PF03602.18]; Ribosomal protein L11 methyltransferase (PrmA) [PF06325.16]; N-6 DNA Methylase [PF02384.19]; RNA cap guanine-N2 methyltransferase [PF09445.13]			0
MAG1_MAG1_228_1	MAG1	C	K00600	glycine hydroxymethyltransferase [EC:2.1.2.1]								Serine hydroxymethyltransferase [PF00464.22]; Aminotransferase class-V [PF00266.22]; Orn/Lys/Arg decarboxylase, major domain [PF01276.23]			0
MAG1_MAG1_226_2	MAG1	C	K00645	[acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]								Acyl transferase domain [PF00698.24]			0
